stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_timezone,location_type,parent_station,level_id
ITOAUTO118184,,"r. du 11 Novembre",48.932426,2.495991,0,,2,ITOAUTO79518,
ITOAUTO118186,,"r. du Général de Gaulle",49.070572,2.175241,0,,2,ITOAUTO77727,
ITOAUTO118188,5,"r. de l'Équerre",48.874050,2.383845,0,,2,PARIS204776,
ITOAUTO118190,5,"Sq. du Docteur Variot",48.876442,2.406764,0,,2,PARIS9487,
ITOAUTO118210,,"Thiers",48.694283,2.372635,2,,0,PARIS12875,
ITOAUTO118211,,"Roger Salengro",48.909908,2.527205,2,,0,PARIS206246,
ITOAUTO118212,,"Place de l'Europe",48.909496,2.471560,1,,0,PARIS13337,
ITOAUTO118214,,"Cauchy",48.843174,2.277561,1,,0,PARIS10801,
ITOAUTO118217,,"Panorama",48.705444,2.383061,1,,0,PARIS12722,
ITOAUTO118222,,"Rousselle",48.886379,2.244000,1,,0,PARIS11000,
ITOAUTO118232,,"Rue des Folies",48.875187,2.191097,1,,0,PARIS11441,
ITOAUTO118252,,"Pierre Curie - Clinique de l'Estrée",48.955883,2.367363,1,,0,ITOAUTO79873,
ITOAUTO118233,,"Cimetière Nouveau",48.892609,2.227884,1,,0,ITOAUTO78911,
ITOAUTO118241,,"Lycée Darius Milhaud - Charles Gide",48.805401,2.347798,1,,0,ITOAUTO120419,
ITOAUTO118247,,"Pluchet",48.799755,2.300953,1,,0,PARIS12388,
ITOAUTO118250,,"Gutenberg - Diderot",48.920609,2.429062,1,,0,PARIS12584,
ITOAUTO118256,,"Porte des Lilas-Métro",48.877720,2.409230,2,Europe/Paris,,,
ITOAUTO118259,,"Les Saules",48.930473,2.245338,1,,0,ITOAUTO79389,
ITOAUTO118274,,"Robinson RER",48.779678,2.280454,2,Europe/Paris,,,
ITOAUTO118275,,"Gare de l'Est",48.876179,2.357533,1,Europe/Paris,,,
ITOAUTO118277,,"Saint-Gobain",48.912621,2.366129,1,,0,ITOAUTO79333,
ITOAUTO118278,,"Bry-sur-Marne RER",48.843807,2.526184,1,Europe/Paris,,,
ITOAUTO118279,,"Môle 1-2",48.937145,2.274631,1,,0,ITOAUTO80350,
ITOAUTO118281,,"Marché des Mortefontaines",48.972092,2.320901,1,,0,ITOAUTO121378,
ITOAUTO118282,,"Porte de Paris - Stade de France",48.929295,2.356740,1,,0,PARIS200127,
ITOAUTO118314,,"Gare de Cergy Préfecture",49.035660,2.081399,1,Europe/Paris,,,
ITOAUTO118318,,"Église",48.315357,2.086938,2,,0,ITOAUTO80489,
ITOAUTO118319,,"Mesnil Racoin",48.456726,2.260695,2,,0,ITOAUTO118311,
ITOAUTO118320,,"Commissariat",48.702129,2.464253,2,,0,PARIS4809,
ITOAUTO118321,,"Commissariat",48.701817,2.464541,2,,0,PARIS4809,
ITOAUTO118324,,"Paillis / Collège Samuel Paty",48.742203,2.472450,1,,0,ITOAUTO118306,
ITOAUTO118326,,"Corneille",48.695107,2.480263,2,,0,PARIS4901,
ITOAUTO118329,,"Le Plessis Mornay / Péage de Longvilliers",48.566067,1.986769,2,,0,ITOAUTO62960,
ITOAUTO118330,,"Moulineux",48.392452,2.026090,2,,0,PARIS6408,
ITOAUTO118331,,"Le Billoir / Coteaux de l'Orge",48.666691,2.363596,1,,0,ITOAUTO118869,
ITOAUTO123554,,"Amédée Gordini",48.658833,2.372925,0,,0,ITOAUTO108671,
ITOAUTO118332,,"Albert Camus / Les Cholettes",48.977409,2.372155,1,,0,PARIS9767,
ITOAUTO118334,,"Le Plessis Mornay / Péage de Longvilliers",48.565868,1.986800,2,,0,ITOAUTO62960,
ITOAUTO118335,,"Porte d'Étampes",48.439606,2.136404,2,,0,PARIS190360,
ITOAUTO118345,,"Parc de Saint-Cloud - T2",48.843369,2.222264,2,,0,ITOAUTO78832,
ITOAUTO118348,,"INRAE",48.801842,2.088473,1,,0,ITOAUTO118308,
ITOAUTO118352,,"Gare de Gretz-Armainvilliers",48.745514,2.729090,2,Europe/Paris,,,
ITOAUTO118375,,"Cacao Barry / Meulan Hardricourt",49.004929,1.901370,0,,0,ITOAUTO77514,
ITOAUTO118378,,"Gare d'Éragny - Neuville",49.017815,2.090616,0,,0,ITOAUTO77560,
ITOAUTO118379,,"Gare du Val d'Argenteuil",48.950539,2.231263,0,,0,ITOAUTO81803,
ITOAUTO118445,,"Maryse Bastié",48.943890,2.417817,2,,0,ITOAUTO118636,
ITOAUTO118449,,"Église de Colombes",48.923195,2.250575,1,,0,PARIS11394,
ITOAUTO118450,,"Pont de Neuilly-Métro",48.884731,2.260920,1,Europe/Paris,,,
ITOAUTO118497,,"Gare de Maisons-Laffitte",48.945461,2.143571,2,Europe/Paris,,,
ITOAUTO118501,,"Pré de Paris",48.707951,2.279675,0,,0,ITOAUTO118474,
ITOAUTO129824,1,"Lamarck",48.889797,2.338544,0,,2,ITOAUTO97132,
ITOAUTO118504,,"Victor Hugo / Boissy-l'Aillerie",49.074886,2.027752,2,,0,ITOAUTO77735,
ITOAUTO118505,,"Victor Hugo / Boissy-l'Aillerie",49.074768,2.028066,2,,0,ITOAUTO77735,
ITOAUTO118516,,"Verdun",49.040375,2.104692,1,,0,ITOAUTO128635,
ITOAUTO118518,,"Gare de Maisons-Laffitte",48.945507,2.143693,2,Europe/Paris,,,
ITOAUTO118571,,"Gare de Maisons-Laffitte",48.945831,2.143661,1,Europe/Paris,,,
ITOAUTO118603,,"Gare de Saint Fargeau",48.564739,2.542314,0,,0,ITOAUTO81139,
ITOAUTO118608,,"Gare de Boissise-le-Roi",48.529224,2.572624,0,,0,ITOAUTO81074,
ITOAUTO118609,,"Gare d'Essonnes Robinson",48.605396,2.464592,0,,0,ITOAUTO79979,
ITOAUTO118658,,"Croisement",48.689533,2.210532,1,,0,PARIS9145,
ITOAUTO118662,,"De Lattre de Tassigny",48.809345,2.062032,2,,0,ITOAUTO118652,
ITOAUTO118672,,"Gravier du Bac",48.871216,2.677726,2,,0,ITOAUTO118772,
ITOAUTO129859,1,"bd des Batignolles",48.882271,2.321117,0,,2,PARIS193022,
ITOAUTO118706,,"RD143",48.735462,2.937249,2,,0,ITOAUTO118703,
ITOAUTO118709,,"Gare du Guichet",48.706535,2.190949,1,Europe/Paris,,,
ITOAUTO118712,,"Gare de Pontault-Combault (Parking relais)",48.804111,2.622955,2,,0,ITOAUTO118705,
ITOAUTO118740,,"Maison des Associations / Compans",48.993031,2.663179,2,,0,ITOAUTO118736,
ITOAUTO118741,,"Porte des Ternes - Anny Flore",48.880573,2.283928,1,,0,ITOAUTO117645,
ITOAUTO118742,,"Marguerite Long - Porte d'Asnières",48.891354,2.301932,1,,0,ITOAUTO118735,
ITOAUTO118744,,"Porte Dauphine",48.870613,2.274535,2,Europe/Paris,,,
ITOAUTO118746,,"Anny Flore",48.880695,2.284703,2,,0,ITOAUTO117645,
ITOAUTO118745,,"Porte Maillot - Malakoff",48.876244,2.283592,1,Europe/Paris,,,
ITOAUTO118747,,"Marguerite Long - Porte d'Asnières",48.889606,2.303429,1,,0,ITOAUTO118735,
ITOAUTO118754,,"Gare du Nord",48.879623,2.356304,0,Europe/Paris,,,
ITOAUTO118777,,"Lotissement",48.543087,2.323329,2,,0,ITOAUTO118768,
ITOAUTO118778,,"Cinéma",49.029980,2.332341,2,,0,ITOAUTO118475,
ITOAUTO118782,,"Rouzée",49.033535,2.325567,2,,0,ITOAUTO118488,
ITOAUTO118783,,"Bretagne",49.030384,2.326018,2,,0,ITOAUTO118489,
ITOAUTO118879,,"Mairie / Gargenville",48.988174,1.811530,2,,0,ITOAUTO118868,
ITOAUTO118880,,"Mairie de Champlan / Champlan",48.706635,2.273482,1,,0,ITOAUTO118872,
ITOAUTO118881,,"Centre Ville / Chars",49.160404,1.934438,2,,0,ITOAUTO118867,
ITOAUTO118882,,"Centre Ville / Chars",49.160557,1.934531,2,,0,ITOAUTO118867,
ITOAUTO118884,,"Mairie de Champlan / Champlan",48.708668,2.273712,1,,0,ITOAUTO118872,
ITOAUTO118915,,"Gare de Houilles - Carrières-sur-Seine",48.919331,2.186276,1,Europe/Paris,,,
ITOAUTO118917,,"Gare de Houilles - Carrières-sur-Seine",48.919559,2.185495,1,Europe/Paris,,,
ITOAUTO118919,,"Thomery",48.397072,2.764323,0,,0,ITOAUTO118774,
ITOAUTO118920,,"Indépendance",49.028015,2.336934,2,,0,ITOAUTO118482,
ITOAUTO118921,,"Tournesols",49.036110,2.333986,2,,0,ITOAUTO118485,
ITOAUTO118923,,"Les Trous Blancs",48.190105,2.756298,2,,0,PARIS4492,
ITOAUTO118924,,"Les Trous Blancs",48.190079,2.756742,2,,0,PARIS4492,
ITOAUTO118925,,"Écoles",48.933224,2.186127,1,,0,ITOAUTO118912,
ITOAUTO118926,,"Gare de Houilles - Carrières-sur-Seine",48.919407,2.185798,1,Europe/Paris,,,
