source,target,airline,departure_ts,arrival_ts,distance,delay
MSP,IAD,EV,2015-01-02T17:41:00,2015-01-02T20:57:00,908,2.0
VPS,ATL,EV,2015-01-02T17:33:00,2015-01-02T19:51:00,250,-6.0
PHX,SEA,OO,2015-01-02T17:58:00,2015-01-02T20:18:00,1107,19.0
DEN,FLL,UA,2015-01-02T18:01:00,2015-01-02T23:46:00,1703,21.0
IAH,EWR,UA,2015-01-02T18:10:00,2015-01-02T22:25:00,1400,30.0
DEN,MIA,UA,2015-01-02T18:31:00,2015-01-03T00:25:00,1709,51.0
PHX,SJC,US,2015-01-02T17:36:00,2015-01-02T18:30:00,621,-4.0
DTW,PHX,US,2015-01-02T17:37:00,2015-01-02T19:46:00,1671,-3.0
STT,CLT,US,2015-01-02T17:41:00,2015-01-02T20:55:00,1520,1.0
CLT,SAT,US,2015-01-02T17:42:00,2015-01-02T19:45:00,1095,2.0
DCA,TPA,US,2015-01-02T17:31:00,2015-01-02T19:57:00,814,-9.0
LGA,PHL,US,2015-01-02T17:35:00,2015-01-02T18:28:00,96,-5.0
SFO,SAN,VX,2015-01-02T17:32:00,2015-01-02T18:50:00,447,-8.0
AUS,ATL,WN,2015-01-02T18:05:00,2015-01-02T21:18:00,813,25.0
BUF,MDW,WN,2015-01-02T17:40:00,2015-01-02T18:47:00,468,0.0
HOU,MSY,WN,2015-01-02T18:09:00,2015-01-02T19:11:00,302,29.0
LAS,BUF,WN,2015-01-02T18:06:00,2015-01-03T01:06:00,1986,26.0
LAS,LAX,WN,2015-01-02T17:53:00,2015-01-02T18:58:00,236,13.0
LAS,PDX,WN,2015-01-02T18:10:00,2015-01-02T20:30:00,763,30.0
LAS,PIT,WN,2015-01-02T17:34:00,2015-01-03T00:21:00,1910,-6.0
LAS,SJC,WN,2015-01-02T17:45:00,2015-01-02T18:56:00,386,5.0
MDW,PHX,WN,2015-01-02T17:38:00,2015-01-02T20:26:00,1444,-2.0
MDW,TUL,WN,2015-01-02T17:51:00,2015-01-02T19:44:00,583,11.0
SAN,SFO,WN,2015-01-02T17:37:00,2015-01-02T19:14:00,447,-3.0
SJC,LAX,WN,2015-01-02T17:50:00,2015-01-02T19:07:00,308,10.0
SNA,OAK,WN,2015-01-02T17:47:00,2015-01-02T19:06:00,371,7.0
MKE,DFW,AA,2015-01-02T18:56:00,2015-01-02T21:51:00,853,76.0
DFW,RDU,AA,2015-01-02T17:50:00,2015-01-02T21:21:00,1061,10.0
DTW,DFW,AA,2015-01-02T18:33:00,2015-01-02T20:57:00,986,53.0
DFW,SFO,AA,2015-01-02T17:58:00,2015-01-02T19:30:00,1464,18.0
DFW,DEN,AA,2015-01-02T18:25:00,2015-01-02T19:12:00,641,45.0
DFW,JAC,AA,2015-01-02T18:24:00,2015-01-02T20:03:00,1047,44.0
DFW,ONT,AA,2015-01-02T17:59:00,2015-01-02T18:58:00,1188,19.0
MSP,DFW,AA,2015-01-02T18:44:00,2015-01-02T21:46:00,852,64.0
